T_review,strategy,hiring_mode,seed,cum_pi,mean_K_active,n_hired_total,n_review_fired_total,dial,alpha_mean,q_a,c_auto,p
5.0,all_H,enable_hiring,0,5539.596955506462,89.91666666666667,0,11,T_review,,,,
5.0,all_H,enable_hiring,1,5314.930038204191,91.75,0,9,T_review,,,,
5.0,all_H,enable_hiring,2,5490.450829953006,97.25,0,3,T_review,,,,
5.0,all_H,enable_hiring,3,5285.305603144112,89.08333333333333,0,12,T_review,,,,
5.0,all_H,enable_hiring,4,5478.895271048888,90.0,0,11,T_review,,,,
5.0,greedy_with_switching,enable_hiring,0,4670.767469189877,43.083333333333336,0,49,T_review,,,,
5.0,greedy_with_switching,enable_hiring,1,5265.457036646769,60.083333333333336,0,33,T_review,,,,
5.0,greedy_with_switching,enable_hiring,2,4708.822537213923,61.0,0,27,T_review,,,,
5.0,greedy_with_switching,enable_hiring,3,4909.387060707419,43.833333333333336,0,45,T_review,,,,
5.0,greedy_with_switching,enable_hiring,4,4447.948075021617,46.5,0,45,T_review,,,,
5.0,horizon_optimizer,enable_hiring,0,7139.0614247022895,79.16666666666667,0,23,T_review,,,,
5.0,horizon_optimizer,enable_hiring,1,6717.31410476842,84.75,0,17,T_review,,,,
5.0,horizon_optimizer,enable_hiring,2,6870.085064639291,89.08333333333333,0,13,T_review,,,,
5.0,horizon_optimizer,enable_hiring,3,6676.355322144887,82.83333333333333,0,19,T_review,,,,
5.0,horizon_optimizer,enable_hiring,4,7139.705508500296,81.75,0,20,T_review,,,,
10.0,all_H,enable_hiring,0,5473.206719785867,90.83333333333333,0,11,T_review,,,,
10.0,all_H,enable_hiring,1,5266.345122159769,92.5,0,9,T_review,,,,
10.0,all_H,enable_hiring,2,5479.324418222168,97.5,0,3,T_review,,,,
10.0,all_H,enable_hiring,3,5233.479825566879,90.16666666666667,0,12,T_review,,,,
10.0,all_H,enable_hiring,4,5427.528248143752,91.0,0,11,T_review,,,,
10.0,greedy_with_switching,enable_hiring,0,4249.180962428529,46.166666666666664,0,49,T_review,,,,
10.0,greedy_with_switching,enable_hiring,1,4994.29059668775,62.166666666666664,0,33,T_review,,,,
10.0,greedy_with_switching,enable_hiring,2,4470.236320936105,63.0,0,27,T_review,,,,
10.0,greedy_with_switching,enable_hiring,3,4463.220335461972,46.666666666666664,0,45,T_review,,,,
10.0,greedy_with_switching,enable_hiring,4,4076.4243662703248,49.0,0,45,T_review,,,,
10.0,horizon_optimizer,enable_hiring,0,6999.268752327045,81.33333333333333,0,23,T_review,,,,
10.0,horizon_optimizer,enable_hiring,1,6598.091888468036,86.5,0,17,T_review,,,,
10.0,horizon_optimizer,enable_hiring,2,6765.618738933614,91.16666666666667,0,13,T_review,,,,
10.0,horizon_optimizer,enable_hiring,3,6561.523498537821,84.66666666666667,0,19,T_review,,,,
10.0,horizon_optimizer,enable_hiring,4,7030.596842871724,83.5,0,20,T_review,,,,
20.0,all_H,enable_hiring,0,5340.426248344677,92.66666666666667,0,11,T_review,,,,
20.0,all_H,enable_hiring,1,5169.175290070923,94.0,0,9,T_review,,,,
20.0,all_H,enable_hiring,2,5457.071594760493,98.0,0,3,T_review,,,,
20.0,all_H,enable_hiring,3,5129.828270412412,92.33333333333333,0,12,T_review,,,,
20.0,all_H,enable_hiring,4,5324.794202333476,93.0,0,11,T_review,,,,
20.0,greedy_with_switching,enable_hiring,0,3406.007948905831,52.333333333333336,0,49,T_review,,,,
20.0,greedy_with_switching,enable_hiring,1,4451.957716769714,66.33333333333333,0,33,T_review,,,,
20.0,greedy_with_switching,enable_hiring,2,3993.063888380467,67.0,0,27,T_review,,,,
20.0,greedy_with_switching,enable_hiring,3,3570.886884971084,52.333333333333336,0,45,T_review,,,,
20.0,greedy_with_switching,enable_hiring,4,3333.37694876774,54.0,0,45,T_review,,,,
20.0,horizon_optimizer,enable_hiring,0,6721.683407576556,85.66666666666667,0,22,T_review,,,,
20.0,horizon_optimizer,enable_hiring,1,6361.6474558672635,90.0,0,16,T_review,,,,
20.0,horizon_optimizer,enable_hiring,2,6594.942350676175,94.66666666666667,0,9,T_review,,,,
20.0,horizon_optimizer,enable_hiring,3,6333.859851323692,88.33333333333333,0,18,T_review,,,,
20.0,horizon_optimizer,enable_hiring,4,6812.379511614583,87.0,0,20,T_review,,,,
inf,all_H,enable_hiring,0,4831.30436257992,100.0,0,0,T_review,,,,
inf,all_H,enable_hiring,1,4798.495961715544,100.0,0,0,T_review,,,,
inf,all_H,enable_hiring,2,5374.06030091379,100.0,0,0,T_review,,,,
inf,all_H,enable_hiring,3,4803.3720997347355,100.0,0,0,T_review,,,,
inf,all_H,enable_hiring,4,4978.648128976311,100.0,0,0,T_review,,,,
inf,greedy_with_switching,enable_hiring,0,3865.646336395715,75.0,0,0,T_review,,,,
inf,greedy_with_switching,enable_hiring,1,4564.587603351169,83.0,0,0,T_review,,,,
inf,greedy_with_switching,enable_hiring,2,4994.77605937902,82.0,0,0,T_review,,,,
inf,greedy_with_switching,enable_hiring,3,3686.894082799835,74.0,0,0,T_review,,,,
inf,greedy_with_switching,enable_hiring,4,3915.410200726195,74.0,0,0,T_review,,,,
inf,horizon_optimizer,enable_hiring,0,5766.782046656284,100.0,0,0,T_review,,,,
inf,horizon_optimizer,enable_hiring,1,5638.671096885356,100.0,0,0,T_review,,,,
inf,horizon_optimizer,enable_hiring,2,6258.968949219838,100.0,0,0,T_review,,,,
inf,horizon_optimizer,enable_hiring,3,5626.16756200078,100.0,0,0,T_review,,,,
inf,horizon_optimizer,enable_hiring,4,6009.900888342558,100.0,0,0,T_review,,,,
10.0,all_H,enable_hiring,0,4754.272395326777,90.83333333333333,0,11,alpha_mean,0.1,,,
10.0,all_H,enable_hiring,1,3713.5764894296226,88.33333333333333,0,14,alpha_mean,0.1,,,
10.0,all_H,enable_hiring,2,4328.713241821463,87.5,0,15,alpha_mean,0.1,,,
10.0,all_H,enable_hiring,3,4413.156364919215,90.83333333333333,0,11,alpha_mean,0.1,,,
10.0,all_H,enable_hiring,4,5348.753357884178,91.83333333333333,0,10,alpha_mean,0.1,,,
10.0,greedy_with_switching,enable_hiring,0,1052.0960604201357,46.166666666666664,0,46,alpha_mean,0.1,,,
10.0,greedy_with_switching,enable_hiring,1,1759.6193566685486,53.166666666666664,0,40,alpha_mean,0.1,,,
10.0,greedy_with_switching,enable_hiring,2,1298.79916352515,49.166666666666664,0,46,alpha_mean,0.1,,,
10.0,greedy_with_switching,enable_hiring,3,2251.039921845374,52.5,0,46,alpha_mean,0.1,,,
10.0,greedy_with_switching,enable_hiring,4,4197.06847370772,47.166666666666664,0,42,alpha_mean,0.1,,,
10.0,horizon_optimizer,enable_hiring,0,5749.665406910683,85.0,0,18,alpha_mean,0.1,,,
10.0,horizon_optimizer,enable_hiring,1,4330.287928473034,83.0,0,22,alpha_mean,0.1,,,
10.0,horizon_optimizer,enable_hiring,2,5007.868230192936,78.66666666666667,0,27,alpha_mean,0.1,,,
10.0,horizon_optimizer,enable_hiring,3,5315.604339100586,84.16666666666667,0,19,alpha_mean,0.1,,,
10.0,horizon_optimizer,enable_hiring,4,6674.992592416589,87.5,0,15,alpha_mean,0.1,,,
10.0,all_H,enable_hiring,0,4594.960486972101,87.83333333333333,0,15,alpha_mean,0.15,,,
10.0,all_H,enable_hiring,1,4108.105137795456,90.0,0,12,alpha_mean,0.15,,,
10.0,all_H,enable_hiring,2,4433.028829130331,86.66666666666667,0,16,alpha_mean,0.15,,,
10.0,all_H,enable_hiring,3,3781.423240520461,87.66666666666667,0,15,alpha_mean,0.15,,,
10.0,all_H,enable_hiring,4,5212.7511029020425,89.16666666666667,0,13,alpha_mean,0.15,,,
10.0,greedy_with_switching,enable_hiring,0,1733.0325263533045,39.5,0,54,alpha_mean,0.15,,,
10.0,greedy_with_switching,enable_hiring,1,2669.388595005973,56.833333333333336,0,37,alpha_mean,0.15,,,
10.0,greedy_with_switching,enable_hiring,2,2212.12870716648,48.166666666666664,0,49,alpha_mean,0.15,,,
10.0,greedy_with_switching,enable_hiring,3,1991.2165709070857,47.666666666666664,0,48,alpha_mean,0.15,,,
10.0,greedy_with_switching,enable_hiring,4,2674.997730948694,44.333333333333336,0,47,alpha_mean,0.15,,,
10.0,horizon_optimizer,enable_hiring,0,5613.263688584287,79.66666666666667,0,25,alpha_mean,0.15,,,
10.0,horizon_optimizer,enable_hiring,1,4848.521826166991,85.16666666666667,0,18,alpha_mean,0.15,,,
10.0,horizon_optimizer,enable_hiring,2,5299.084423828365,81.33333333333333,0,23,alpha_mean,0.15,,,
10.0,horizon_optimizer,enable_hiring,3,4677.718809299415,76.83333333333333,0,29,alpha_mean,0.15,,,
10.0,horizon_optimizer,enable_hiring,4,6462.576329117828,85.0,0,18,alpha_mean,0.15,,,
10.0,all_H,enable_hiring,0,4541.32443886793,89.16666666666667,0,13,alpha_mean,0.2,,,
10.0,all_H,enable_hiring,1,3920.9224282452533,89.16666666666667,0,13,alpha_mean,0.2,,,
10.0,all_H,enable_hiring,2,4595.0502265573305,86.66666666666667,0,16,alpha_mean,0.2,,,
10.0,all_H,enable_hiring,3,3952.1115661076346,87.66666666666667,0,15,alpha_mean,0.2,,,
10.0,all_H,enable_hiring,4,5339.271645899125,89.16666666666667,0,13,alpha_mean,0.2,,,
10.0,greedy_with_switching,enable_hiring,0,1632.2014304668814,38.166666666666664,0,55,alpha_mean,0.2,,,
10.0,greedy_with_switching,enable_hiring,1,2181.21566190279,54.833333333333336,0,38,alpha_mean,0.2,,,
10.0,greedy_with_switching,enable_hiring,2,2660.578510575585,48.166666666666664,0,49,alpha_mean,0.2,,,
10.0,greedy_with_switching,enable_hiring,3,1811.9080547493618,44.333333333333336,0,49,alpha_mean,0.2,,,
10.0,greedy_with_switching,enable_hiring,4,3273.0783702672134,43.666666666666664,0,46,alpha_mean,0.2,,,
10.0,horizon_optimizer,enable_hiring,0,5643.789309794199,80.0,0,24,alpha_mean,0.2,,,
10.0,horizon_optimizer,enable_hiring,1,4691.708492666057,85.83333333333333,0,17,alpha_mean,0.2,,,
10.0,horizon_optimizer,enable_hiring,2,5554.757549432385,81.33333333333333,0,23,alpha_mean,0.2,,,
10.0,horizon_optimizer,enable_hiring,3,4794.530581408327,79.66666666666667,0,25,alpha_mean,0.2,,,
10.0,horizon_optimizer,enable_hiring,4,6682.242809880883,85.0,0,18,alpha_mean,0.2,,,
10.0,all_H,enable_hiring,0,4760.577124775327,89.5,0,13,alpha_mean,0.25,,,
10.0,all_H,enable_hiring,1,4561.961677459548,91.66666666666667,0,10,alpha_mean,0.25,,,
10.0,all_H,enable_hiring,2,4976.344294593101,91.66666666666667,0,10,alpha_mean,0.25,,,
10.0,all_H,enable_hiring,3,4208.18107519941,89.16666666666667,0,13,alpha_mean,0.25,,,
10.0,all_H,enable_hiring,4,5494.023399066674,93.33333333333333,0,8,alpha_mean,0.25,,,
10.0,greedy_with_switching,enable_hiring,0,1938.332988072316,42.5,0,53,alpha_mean,0.25,,,
10.0,greedy_with_switching,enable_hiring,1,3402.61029832865,54.833333333333336,0,40,alpha_mean,0.25,,,
10.0,greedy_with_switching,enable_hiring,2,4034.7690505161245,54.5,0,37,alpha_mean,0.25,,,
10.0,greedy_with_switching,enable_hiring,3,1963.5746227164695,45.0,0,50,alpha_mean,0.25,,,
10.0,greedy_with_switching,enable_hiring,4,3045.0490193067208,48.0,0,44,alpha_mean,0.25,,,
10.0,horizon_optimizer,enable_hiring,0,5976.417614631935,80.83333333333333,0,23,alpha_mean,0.25,,,
10.0,horizon_optimizer,enable_hiring,1,5586.695291195825,84.5,0,21,alpha_mean,0.25,,,
10.0,horizon_optimizer,enable_hiring,2,5846.359539453918,87.5,0,15,alpha_mean,0.25,,,
10.0,horizon_optimizer,enable_hiring,3,5119.449938839784,82.5,0,21,alpha_mean,0.25,,,
10.0,horizon_optimizer,enable_hiring,4,6992.269565422463,87.16666666666667,0,16,alpha_mean,0.25,,,
10.0,all_H,enable_hiring,0,4915.562700921051,87.83333333333333,0,15,alpha_mean,0.3,,,
10.0,all_H,enable_hiring,1,5214.3195292414475,90.83333333333333,0,11,alpha_mean,0.3,,,
10.0,all_H,enable_hiring,2,5326.787486466203,97.5,0,3,alpha_mean,0.3,,,
10.0,all_H,enable_hiring,3,5056.823899925687,87.66666666666667,0,15,alpha_mean,0.3,,,
10.0,all_H,enable_hiring,4,5380.658822380846,91.0,0,11,alpha_mean,0.3,,,
10.0,greedy_with_switching,enable_hiring,0,3049.690691237859,43.333333333333336,0,55,alpha_mean,0.3,,,
10.0,greedy_with_switching,enable_hiring,1,4028.48666379316,58.833333333333336,0,35,alpha_mean,0.3,,,
10.0,greedy_with_switching,enable_hiring,2,4759.974454983612,60.166666666666664,0,33,alpha_mean,0.3,,,
10.0,greedy_with_switching,enable_hiring,3,2810.005022386182,45.0,0,48,alpha_mean,0.3,,,
10.0,greedy_with_switching,enable_hiring,4,3642.766223132662,47.333333333333336,0,46,alpha_mean,0.3,,,
10.0,horizon_optimizer,enable_hiring,0,6295.121791665932,78.33333333333333,0,26,alpha_mean,0.3,,,
10.0,horizon_optimizer,enable_hiring,1,6534.856149977568,84.33333333333333,0,19,alpha_mean,0.3,,,
10.0,horizon_optimizer,enable_hiring,2,6381.217325019809,91.83333333333333,0,10,alpha_mean,0.3,,,
10.0,horizon_optimizer,enable_hiring,3,6246.323010693113,82.66666666666667,0,21,alpha_mean,0.3,,,
10.0,horizon_optimizer,enable_hiring,4,6765.865162859186,85.0,0,18,alpha_mean,0.3,,,
10.0,all_H,enable_hiring,0,5473.206719785867,90.83333333333333,0,11,alpha_mean,0.4,,,
10.0,all_H,enable_hiring,1,5266.345122159769,92.5,0,9,alpha_mean,0.4,,,
10.0,all_H,enable_hiring,2,5479.324418222168,97.5,0,3,alpha_mean,0.4,,,
10.0,all_H,enable_hiring,3,5233.479825566879,90.16666666666667,0,12,alpha_mean,0.4,,,
10.0,all_H,enable_hiring,4,5427.528248143752,91.0,0,11,alpha_mean,0.4,,,
10.0,greedy_with_switching,enable_hiring,0,4249.180962428529,46.166666666666664,0,49,alpha_mean,0.4,,,
10.0,greedy_with_switching,enable_hiring,1,4994.29059668775,62.166666666666664,0,33,alpha_mean,0.4,,,
10.0,greedy_with_switching,enable_hiring,2,4470.236320936105,63.0,0,27,alpha_mean,0.4,,,
10.0,greedy_with_switching,enable_hiring,3,4463.220335461972,46.666666666666664,0,45,alpha_mean,0.4,,,
10.0,greedy_with_switching,enable_hiring,4,4076.4243662703248,49.0,0,45,alpha_mean,0.4,,,
