hiring_mode,strategy,seed,cum_pi,n_review_fired_total,n_hired_total
off,all_H,0,4541.32443886793,13,0
off,all_H,1,3920.9224282452533,13,0
off,all_H,2,4595.0502265573305,16,0
off,all_H,3,3952.1115661076346,15,0
off,all_H,4,5339.271645899125,13,0
off,all_H,5,5061.828100135286,11,0
off,all_H,6,4695.907548600143,8,0
off,all_H,7,3842.440029823769,17,0
off,all_H,8,4396.3588121032135,21,0
off,all_H,9,4325.353761773623,14,0
off,all_A,0,5643.789309794199,24,0
off,all_A,1,4691.708492666057,17,0
off,all_A,2,5554.757549432385,23,0
off,all_A,3,4794.530581408327,25,0
off,all_A,4,6682.242809880883,18,0
off,all_A,5,6251.938560641736,14,0
off,all_A,6,5784.787059516,15,0
off,all_A,7,4575.422542630615,28,0
off,all_A,8,5368.159506923714,28,0
off,all_A,9,5181.933666923349,29,0
off,greedy_with_switching,0,1632.2014304668814,55,0
off,greedy_with_switching,1,2181.21566190279,38,0
off,greedy_with_switching,2,2660.578510575585,49,0
off,greedy_with_switching,3,1811.9080547493618,49,0
off,greedy_with_switching,4,3273.0783702672134,46,0
off,greedy_with_switching,5,3977.161521125115,40,0
off,greedy_with_switching,6,2969.7770374583597,37,0
off,greedy_with_switching,7,1811.5493653941073,46,0
off,greedy_with_switching,8,2610.990622674759,49,0
off,greedy_with_switching,9,2469.516710784841,53,0
off,horizon_brute,0,5643.789309794199,24,0
off,horizon_brute,1,4691.708492666057,17,0
off,horizon_brute,2,5554.757549432385,23,0
off,horizon_brute,3,4794.530581408327,25,0
off,horizon_brute,4,6682.242809880883,18,0
off,horizon_brute,5,6251.938560641736,14,0
off,horizon_brute,6,5784.787059516,15,0
off,horizon_brute,7,4575.422542630615,28,0
off,horizon_brute,8,5368.159506923714,28,0
off,horizon_brute,9,5181.933666923349,29,0
off,horizon_optimizer,0,5643.789309794199,24,0
off,horizon_optimizer,1,4691.708492666057,17,0
off,horizon_optimizer,2,5554.757549432385,23,0
off,horizon_optimizer,3,4794.530581408327,25,0
off,horizon_optimizer,4,6682.242809880883,18,0
off,horizon_optimizer,5,6251.938560641736,14,0
off,horizon_optimizer,6,5784.787059516,15,0
off,horizon_optimizer,7,4575.422542630615,28,0
off,horizon_optimizer,8,5368.159506923714,28,0
off,horizon_optimizer,9,5181.933666923349,29,0
enable_hiring,all_H,0,4541.32443886793,13,0
enable_hiring,all_H,1,3920.9224282452533,13,0
enable_hiring,all_H,2,4595.0502265573305,16,0
enable_hiring,all_H,3,3952.1115661076346,15,0
enable_hiring,all_H,4,5339.271645899125,13,0
enable_hiring,all_H,5,5061.828100135286,11,0
enable_hiring,all_H,6,4695.907548600143,8,0
enable_hiring,all_H,7,3842.440029823769,17,0
enable_hiring,all_H,8,4396.3588121032135,21,0
enable_hiring,all_H,9,4325.353761773623,14,0
enable_hiring,all_A,0,5643.789309794199,24,0
enable_hiring,all_A,1,4691.708492666057,17,0
enable_hiring,all_A,2,5554.757549432385,23,0
enable_hiring,all_A,3,4794.530581408327,25,0
enable_hiring,all_A,4,6682.242809880883,18,0
enable_hiring,all_A,5,6251.938560641736,14,0
enable_hiring,all_A,6,5784.787059516,15,0
enable_hiring,all_A,7,4575.422542630615,28,0
enable_hiring,all_A,8,5368.159506923714,28,0
enable_hiring,all_A,9,5181.933666923349,29,0
enable_hiring,greedy_with_switching,0,1632.2014304668814,55,0
enable_hiring,greedy_with_switching,1,2181.21566190279,38,0
enable_hiring,greedy_with_switching,2,2660.578510575585,49,0
enable_hiring,greedy_with_switching,3,1811.9080547493618,49,0
enable_hiring,greedy_with_switching,4,3273.0783702672134,46,0
enable_hiring,greedy_with_switching,5,3977.161521125115,40,0
enable_hiring,greedy_with_switching,6,2969.7770374583597,37,0
enable_hiring,greedy_with_switching,7,1811.5493653941073,46,0
enable_hiring,greedy_with_switching,8,2610.990622674759,49,0
enable_hiring,greedy_with_switching,9,2469.516710784841,53,0
enable_hiring,horizon_brute,0,5643.789309794199,24,0
enable_hiring,horizon_brute,1,4691.708492666057,17,0
enable_hiring,horizon_brute,2,5554.757549432385,23,0
enable_hiring,horizon_brute,3,4794.530581408327,25,0
enable_hiring,horizon_brute,4,6682.242809880883,18,0
enable_hiring,horizon_brute,5,6251.938560641736,14,0
enable_hiring,horizon_brute,6,5784.787059516,15,0
enable_hiring,horizon_brute,7,4575.422542630615,28,0
enable_hiring,horizon_brute,8,5368.159506923714,28,0
enable_hiring,horizon_brute,9,5181.933666923349,29,0
enable_hiring,horizon_optimizer,0,5643.789309794199,24,0
enable_hiring,horizon_optimizer,1,4691.708492666057,17,0
enable_hiring,horizon_optimizer,2,5554.757549432385,23,0
enable_hiring,horizon_optimizer,3,4794.530581408327,25,0
enable_hiring,horizon_optimizer,4,6682.242809880883,18,0
enable_hiring,horizon_optimizer,5,6251.938560641736,14,0
enable_hiring,horizon_optimizer,6,5784.787059516,15,0
enable_hiring,horizon_optimizer,7,4575.422542630615,28,0
enable_hiring,horizon_optimizer,8,5368.159506923714,28,0
enable_hiring,horizon_optimizer,9,5181.933666923349,29,0
enable_replenish_hiring,all_H,0,4963.9944985723705,17,17
enable_replenish_hiring,all_H,1,4476.444688357908,15,15
enable_replenish_hiring,all_H,2,5146.873231579722,19,19
enable_replenish_hiring,all_H,3,4759.155584093521,14,14
enable_replenish_hiring,all_H,4,5728.971148785102,16,16
enable_replenish_hiring,all_H,5,5486.187714817398,14,14
enable_replenish_hiring,all_H,6,5048.113045646169,10,10
enable_replenish_hiring,all_H,7,4263.887500457571,26,26
enable_replenish_hiring,all_H,8,5077.019553074004,22,22
enable_replenish_hiring,all_H,9,4812.1910666029535,15,15
enable_replenish_hiring,all_A,0,6639.966354263006,34,34
enable_replenish_hiring,all_A,1,5565.956947047032,21,21
enable_replenish_hiring,all_A,2,6412.020421066782,29,29
enable_replenish_hiring,all_A,3,6338.006473373519,31,31
enable_replenish_hiring,all_A,4,7467.822297486664,26,26
enable_replenish_hiring,all_A,5,6840.489962600599,18,18
enable_replenish_hiring,all_A,6,6486.2942687102295,24,24
enable_replenish_hiring,all_A,7,5901.483749432284,39,39
enable_replenish_hiring,all_A,8,6366.863388921489,33,33
enable_replenish_hiring,all_A,9,6557.573147384182,34,34
enable_replenish_hiring,greedy_with_switching,0,767.9009121699233,155,141
enable_replenish_hiring,greedy_with_switching,1,481.22527521494123,136,132
enable_replenish_hiring,greedy_with_switching,2,712.834670951712,165,141
enable_replenish_hiring,greedy_with_switching,3,1025.7541617380389,160,141
enable_replenish_hiring,greedy_with_switching,4,1256.7769146053618,139,139
enable_replenish_hiring,greedy_with_switching,5,1911.6075475525736,125,125
enable_replenish_hiring,greedy_with_switching,6,2223.194911237163,120,120
enable_replenish_hiring,greedy_with_switching,7,1131.803310866336,133,133
enable_replenish_hiring,greedy_with_switching,8,1499.9186089011628,148,141
enable_replenish_hiring,greedy_with_switching,9,1631.7033475236735,132,132
enable_replenish_hiring,horizon_brute,0,6639.966354263006,34,34
enable_replenish_hiring,horizon_brute,1,5565.956947047032,21,21
enable_replenish_hiring,horizon_brute,2,6412.020421066782,29,29
enable_replenish_hiring,horizon_brute,3,6338.006473373519,31,31
enable_replenish_hiring,horizon_brute,4,7467.822297486664,26,26
enable_replenish_hiring,horizon_brute,5,6840.489962600599,18,18
enable_replenish_hiring,horizon_brute,6,6486.2942687102295,24,24
enable_replenish_hiring,horizon_brute,7,5901.483749432284,39,39
enable_replenish_hiring,horizon_brute,8,6366.863388921489,33,33
enable_replenish_hiring,horizon_brute,9,6557.573147384182,34,34
enable_replenish_hiring,horizon_optimizer,0,3576.805906662613,24,24
enable_replenish_hiring,horizon_optimizer,1,3148.365188676382,17,17
enable_replenish_hiring,horizon_optimizer,2,3869.880581406722,25,25
enable_replenish_hiring,horizon_optimizer,3,3116.4242061218106,25,25
enable_replenish_hiring,horizon_optimizer,4,5064.6997323848955,18,18
enable_replenish_hiring,horizon_optimizer,5,4971.7919894119805,14,14
enable_replenish_hiring,horizon_optimizer,6,4443.257108722401,15,15
enable_replenish_hiring,horizon_optimizer,7,2863.9663094780553,32,32
enable_replenish_hiring,horizon_optimizer,8,3396.4848223272575,28,28
enable_replenish_hiring,horizon_optimizer,9,3272.171410357152,30,30
